,d,r,state,upper_bound,lower_bound
0,1.0,1.5371602774,6COY,1.5735882521,1.5007323027000001
1,2.0,1.51045018435,6COY,1.5592074394,1.4616929293000003
2,3.0,1.6723069548999998,6COY,1.7016614676,1.6429524422
3,4.0,1.4755907655,6COY,1.5266672372999999,1.4245142937000002
4,5.0,1.4206314682999999,6COY,1.435831666,1.4054312706
5,6.0,1.472797215,6COY,1.4934949875,1.4520994425
6,7.0,1.60953122375,6COY,1.6691191196000001,1.5499433279
7,8.0,1.673676908,6COY,1.7013282775999996,1.6460255384
8,9.0,2.0088587999333334,6COY,2.1211811701333336,1.9292306304000002
9,10.0,2.1631113291000004,6COY,2.180441618,2.1457810402
10,11.0,2.01528179645,6COY,2.0381217003,1.9924418925999998
11,12.0,2.0562889575999996,6COY,2.0997180939,2.0128598212999997
12,13.0,2.2779947519499997,6COY,2.3045682907,2.2514212132
13,14.0,2.4519056081499997,6COY,2.5212898254,2.3825213909
0,2.0,1.5715302157567377,5TQQ,1.5838793233659452,1.5591811081475302
1,3.0,1.5968976076084724,5TQQ,1.6979423217386684,1.4958528934782764
2,4.0,1.810731976406016,5TQQ,1.8305877160634068,1.790876236748625
3,5.0,1.740447255721638,5TQQ,1.7480495977272352,1.7328449137160407
4,6.0,1.8689551538005666,5TQQ,1.9200229227001895,1.8178873849009438
5,7.0,2.077556058702738,5TQQ,2.1373280974941617,2.017784019911314
6,8.0,2.2839342161521072,5TQQ,2.325815824368134,2.2420526079360803
7,9.0,2.490445423162315,5TQQ,2.5671930691846927,2.4136977771399377
8,10.0,2.692138484273502,5TQQ,2.71441234287786,2.669864625669144
9,11.0,2.595392716681403,5TQQ,2.6278057090344773,2.5629797243283288
10,12.0,2.5949497360497342,5TQQ,2.6310326369780417,2.5588668351214268
11,13.0,2.718667715961442,5TQQ,2.75251656250289,2.6848188694199937
12,14.0,2.558165830364921,5TQQ,2.580584511141384,2.5357471495884587
13,15.0,2.355231605535499,5TQQ,2.424745622849642,2.285717588221356
0,2.0,1.3950261364130303,C_oi,1.4210950057646996,1.368827972465402
1,3.0,1.3874399540769338,C_oi,1.4048680573006416,1.3684721695432285
2,4.0,1.3836711932744779,C_oi,1.4064083977397746,1.3609149901035718
3,5.0,1.4288765435347088,C_oi,1.4539750572586743,1.4038193816400795
4,6.0,1.482362080973011,C_oi,1.5065794682117166,1.4576616079517761
5,7.0,1.5597789558350825,C_oi,1.5844798798628714,1.535831270911556
6,8.0,1.6758721585301868,C_oi,1.7028622643921563,1.6477599463829122
7,9.0,1.8351842047499372,C_oi,1.8718519810629468,1.7999371782474414
8,10.0,2.0394611558210625,C_oi,2.0810569087571795,1.9977351854804168
9,11.0,2.2164922711701394,C_oi,2.260026642578357,2.170501420627217
10,12.0,2.351398026387537,C_oi,2.3946631815735793,2.3079754576761484
11,13.0,2.4739041457236604,C_oi,2.5166806990175083,2.4315248284844504
12,14.0,2.577156196919864,C_oi,2.619789816664578,2.5333130944202464
13,15.0,2.6428625924223255,C_oi,2.6864918524157213,2.599817690271005
14,16.0,2.66297827059791,C_oi,2.7120103931191455,2.614133183943463
15,17.0,2.65219843291704,C_oi,2.708225696415241,2.594483133123928
16,18.0,2.6203177324340228,C_oi,2.685004018284359,2.5559896714561927
17,19.0,2.395981411001579,C_oi,2.43685959066264,2.3535510504887975
0,2.0,1.4707566378687875,C_o,1.5063424859857475,1.4333718311884514
1,3.0,1.376217915046654,C_o,1.4039054766452883,1.349204188512463
2,4.0,1.342547696145996,C_o,1.3637087505536747,1.3201458027877446
3,5.0,1.4324029080773137,C_o,1.4579920146375227,1.40725725979048
4,6.0,1.583692314165782,C_o,1.612028419969213,1.5552400924952894
5,7.0,1.6901838331967236,C_o,1.7186243251310462,1.6597764559426331
6,8.0,1.7133513916172258,C_o,1.7439341181263306,1.6832841920438393
7,9.0,1.7937251642852237,C_o,1.8257742015082288,1.760410281955278
8,10.0,1.9190918244180148,C_o,1.9613586694945762,1.877327001697953
9,11.0,2.0271105716364315,C_o,2.0906902211373923,1.9613807850304446
10,12.0,2.0725997185188705,C_o,2.139990677375022,2.006678553618738
11,13.0,2.1006092748773635,C_o,2.1667157611073877,2.0373950999070214
12,14.0,2.047875377959148,C_o,2.148384681652693,1.948538254053646
13,15.0,1.9095431547693755,C_o,2.0743976712012397,1.7401409996623334
14,16.0,2.004065178336944,C_o,2.212285398646643,1.8012950510699668
15,17.0,1.8178192853553437,C_o,1.9508413912163278,1.6804243585261287
16,18.0,1.728688703334086,C_o,1.8304261616885071,1.6348563122607562
17,19.0,1.9287277947452584,C_o,1.9877079254823653,1.8751092834484528
0,2.0,1.352103330708388,O,1.4338897424228685,1.2694103225401805
1,3.0,1.4127773483747779,O,1.4515607752497053,1.3728248603849271
2,4.0,1.6414923253738802,O,1.6848054524279197,1.5957019607603105
3,5.0,1.8744456984175757,O,1.931347223845066,1.8140111446128897
4,6.0,2.0043993364605632,O,2.053229711447999,1.9546089340839017
5,7.0,2.028055501874699,O,2.0734625119054173,1.983177997993525
6,8.0,2.0722188160133035,O,2.125875496910915,2.0192111976758786
7,9.0,2.164574419278973,O,2.2326802615089303,2.090849422086168
8,10.0,2.2723875007052468,O,2.36455915320405,2.173970062815734
9,11.0,2.330605361672773,O,2.4163711107545844,2.2449487923558977
10,12.0,2.35721894853936,O,2.4447504708015475,2.269830074466068
11,13.0,2.4002420509662463,O,2.484239009180748,2.3139722478286333
12,14.0,2.407883032954877,O,2.5127498550667053,2.300490331958638
13,15.0,2.283226484293499,O,2.4161086025037597,2.147553140172215
14,16.0,2.0081278723417775,O,2.066469362732627,1.9508019732557067
15,17.0,2.081352717617486,O,2.3183968292203283,1.8696157009781862
16,18.0,2.5382161181706913,O,2.5754626609581104,2.500969575383272
0,2.0,1.0617156277140836,U,1.0889897544774783,1.0344415009506889
1,3.0,1.0073969723583842,U,1.0620806724823442,0.9677144046121036
2,4.0,1.082009168810886,U,1.1554341842295115,1.0124693642646032
3,5.0,1.2447251009475848,U,1.2991882515044084,1.1890657547288446
4,6.0,1.2976364837108552,U,1.3531248910930584,1.2442963814581753
5,7.0,1.289318856419384,U,1.3581300485645533,1.2189429822475775
6,8.0,1.3766261665831696,U,1.4636813683095649,1.2831173611348399
7,9.0,1.4765246369012888,U,1.5756395334532303,1.3779050155454415
8,10.0,1.6239046038581906,U,1.7356956376627017,1.5098678047033907
9,11.0,1.8728270481233025,U,2.0377436523978507,1.7087298714811456
10,12.0,2.1601971524245287,U,2.313651724516361,2.009103132084899
11,13.0,2.332323631811228,U,2.439891064377733,2.2286446202313726
12,14.0,2.3320662033865753,U,2.4010557317680457,2.2685608291211468
